,id,name,des,last refreshed,from,to
115,100417,Tata Mutual Fund - TATA Income Fund Regular Plan - Half Yearly Payout of Income Distribution cum capital withdrawal option,ISIN Div Payout/ ISIN Growth: INF277K01DU6<br><br>ISIN Div Reinvestment: INF277K01675,14-05-2021 20:00,03-04-2006,14-05-2021
116,100418,Tata Mutual Fund - Tata Income Fund -Regular Plan  - Growth,ISIN Div Payout/ ISIN Growth: INF277K01659,14-05-2021 20:00,03-04-2006,14-05-2021
117,100470,Franklin Templeton Mutual Fund - Franklin India BLUECHIP FUND - IDCW ,ISIN Div Payout/ ISIN Growth: INF090I01155<br><br>ISIN Div Reinvestment: INF090I01163,14-05-2021 20:00,03-04-2006,14-05-2021
118,100471,Franklin Templeton Mutual Fund - Franklin India Bluechip Fund-Growth,ISIN Div Payout/ ISIN Growth: INF090I01171,14-05-2021 20:00,03-04-2006,14-05-2021
119,100472,Franklin Templeton Mutual Fund - Franklin India PRIMA FUND - IDCW ,ISIN Div Payout/ ISIN Growth: INF090I01726<br><br>ISIN Div Reinvestment: INF090I01734,14-05-2021 20:00,03-04-2006,14-05-2021
120,100473,Franklin Templeton Mutual Fund - Franklin India Prima Fund-Growth,ISIN Div Payout/ ISIN Growth: INF090I01809,14-05-2021 20:00,03-04-2006,14-05-2021
121,100474,Tata Mutual Fund - TATA India Tax Savings Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,ISIN Div Payout/ ISIN Growth: INF277K01I60,14-05-2021 20:00,03-04-2006,14-05-2021
122,100475,Tata Mutual Fund - Tata Large Cap Fund Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF277K01931,14-05-2021 20:00,03-04-2006,14-05-2021
123,100476,Taurus Mutual Fund - Taurus Flexi Cap Fund - Regular Plan - Growth ,ISIN Div Payout/ ISIN Growth: INF044D01989,14-05-2021 20:00,03-04-2006,14-05-2021
124,100477,Taurus Mutual Fund - Taurus Discovery (Midcap) Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF044D01815,14-05-2021 20:00,03-04-2006,14-05-2021
125,100480,Taurus Mutual Fund - Taurus Taxshield - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF044D01AC9,14-05-2021 20:00,03-04-2006,14-05-2021
126,100484,Franklin Templeton Mutual Fund - Franklin India Index Fund- Nifty Plan - Growth,ISIN Div Payout/ ISIN Growth: INF090I01890,14-05-2021 20:00,03-04-2006,14-05-2021
127,100493,Franklin Templeton Mutual Fund - Franklin India Government Securities Fund - Growth,ISIN Div Payout/ ISIN Growth: INF090I01CU9,14-05-2021 20:00,03-04-2006,14-05-2021
