label,id,name,des,last refreshed,from,to
383,101482,HDFC Mutual Fund - HDFC Floating Rate Debt Fund - Retail Weekly Div Option,ISIN Div Payout/ ISIN Growth: INF179K01681<br><br>ISIN Div Reinvestment: INF179K01673,14-05-2021 20:00,18-06-2006,10-05-2019
388,101499,Principal Mutual Fund - Principal Equity Savings Fund - Half Yearly Income Distribution CUM Capital Withdrawal,ISIN Div Payout/ ISIN Growth: INF173K01247<br><br>ISIN Div Reinvestment: INF173K01254,14-05-2021 20:00,03-04-2006,14-05-2021
390,101519,JM Financial Mutual Fund - JM Short Term Fund - Regular Plan - Dividend Option,ISIN Div Payout/ ISIN Growth: INF192K01BA3<br><br>ISIN Div Reinvestment: INF192K01BB1,14-05-2021 20:00,03-04-2006,25-09-2020
391,101520,JM Financial Mutual Fund - JM Short Term Fund - Regular Plan - Growth Option,ISIN Div Payout/ ISIN Growth: INF192K01BC9,14-05-2021 20:00,03-04-2006,25-09-2020
392,101521,JM Financial Mutual Fund - JM Short Term Fund - Growth Option,ISIN Div Payout/ ISIN Growth: INF192K01BG0,14-05-2021 20:00,03-04-2006,25-09-2020
395,101528,Sahara Mutual Fund - Sahara Growth Fund-Growth,ISIN Div Payout/ ISIN Growth: INF515L01171,19-01-2021 20:00,03-04-2006,27-03-2020
402,101544,Sundaram Mutual Fund - Sundaram Short Term Credit Risk Fund -Dividend,ISIN Div Payout/ ISIN Growth: INF903J01EV5<br><br>ISIN Div Reinvestment: INF903J01EW3,14-05-2021 20:00,01-04-2006,29-12-2020
408,101560,Sundaram Mutual Fund - Sundaram Short Term Debt Fund Regular Plan - Quarterly Payout of Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01FK5,14-05-2021 20:00,03-04-2006,14-05-2021
409,101561,Sundaram Mutual Fund - Sundaram Short Term Debt Fund Regular Plan - Half yearly Payout of Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01FL3,14-05-2021 20:00,03-04-2006,14-05-2021
412,101564,Sundaram Mutual Fund - Sundaram Short Term Debt Fund Regular Plan - Weekly Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01FH1<br><br>ISIN Div Reinvestment: INF903J01FN9,14-05-2021 20:00,03-04-2006,14-05-2021
413,101565,Sundaram Mutual Fund - Sundaram Short Term Debt Fund Regular Plan - Fortnightly Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01FI9<br><br>ISIN Div Reinvestment: INF903J01FO7,14-05-2021 20:00,03-04-2006,14-05-2021
415,101585,HDFC Mutual Fund - HDFC Equity Savings Fund - GROWTH PLAN,ISIN Div Payout/ ISIN Growth: INF179K01AM7,14-05-2021 20:00,03-04-2006,14-05-2021
427,101617,ICICI Prudential Mutual Fund - ICICI Prudential Savings Fund - Weekly IDCW,ISIN Div Payout/ ISIN Growth: INF109K01JO1<br><br>ISIN Div Reinvestment: INF109K01753,14-05-2021 20:00,02-04-2006,14-05-2021
428,101618,ICICI Prudential Mutual Fund - ICICI Prudential Savings Fund - Daily IDCW,ISIN Div Payout/ ISIN Growth: INF109K01738,14-05-2021 20:00,02-04-2006,14-05-2021
430,101635,DSP Mutual Fund - DSP Top 100 Equity Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF740K01243,14-05-2021 20:00,03-04-2006,14-05-2021
445,101696,HSBC Mutual Fund - HSBC Cash Fund - Regular - Growth,ISIN Div Payout/ ISIN Growth: INF336L01271,14-05-2021 20:00,02-04-2006,28-12-2012
452,101737,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW,ISIN Div Payout/ ISIN Growth: INF209K01397<br><br>ISIN Div Reinvestment: INF209K01CP1,14-05-2021 20:00,03-04-2006,14-05-2021
456,101750,ICICI Prudential Mutual Fund - ICICI Prudential Liquid Fund Retail Growth,ISIN Div Payout/ ISIN Growth: INF109K01UQ3,14-05-2021 20:00,02-04-2006,24-04-2020
460,101754,ICICI Prudential Mutual Fund - ICICI Prudential Liquid Fund Retail Daily Dividend,ISIN Div Payout/ ISIN Growth: INF109K01UR1,14-05-2021 20:00,02-04-2006,24-04-2020
